key,value
amc_name,Wealth Company Asset Management Holdings Private Limited
benchmark_index,CRISIL Hybrid 50+50 - Moderate Index
close_date,"on: February 10, 2026"
face_value,Rs.10
field_location,"[{'benchmark_index': 3, 'close_date': 1, 'fund_manager': 0, 'load': 3, 'main_scheme_name': 3, 'min_addl_amt': 3, 'min_addl_amt_multiple': 3, 'min_amt': 3, 'min_amt_multiple': 3, 'offer_price': 3, 'open_date': 1, 'scheme_code': 3, 'scheme_objective': 3, 'suitable_for_investors': 1, 'type_of_scheme': 3}]"
main_scheme_name,The Wealth Company Balanced Advantage Fund
min_addl_amt,1000
min_addl_amt_multiple,1
min_amt,5000
min_amt_multiple,1
mutual_fund_name,The Wealth Company Mutual Fund
offer_price,Rs.10
open_date,"on: January 27, 2026"
riskometer_benchmark,
riskometer_scheme,
scheme_code,TWCF/O/H/BAF/25/12/0009
scheme_objective,To provide long term capital appreciation / income from a dynamic mix of equity and debt investments. There is no assurance or guarantee that the investment objective of the Scheme will be achieved.
suitable_for_investors,"• Long term capital appreciation. • Investment in equity and equity related securities, debt and money market instruments through dynamic asset allocation. *"
type_of_scheme,An open ended dynamic asset allocation fund


name,experience,qualification
Mrs. Aparna Shanker,,"MBA (Finance), PGD in Treasury & Forex Management, B.Sc., LLB"
Mr. Varun Nanavati,,B.COM and Chartered Accountant


comment,type,value
Nil,entry_load,
"1% - If redeemed/switched out within 180 days from the date of allotment. Nil - if redeemed/switched out after 180 days from the date of allotment. With effect from October 01, 2012, Exit load if charged to the Scheme shall be credited to the Scheme immediately net of goods and services tax, if any. Further, the Trustees shall have a right to prescribe or modify the load structure with prospective effect subject to the maximum prescribed under the Regulations. For any change in load structure Wealth Company Asset Management Holdings Private Limited will issue an addendum and display it on the website/ Investor Service Centers. Pursuant to Para 10.6 titled 'No Load on Bonus Units and Units allotted on Reinvestment of Dividend' of the SEBI Master Circular, no entry load or exit load shall be charged in respect of bonus units and units allotted on IDCW reinvestment. The AMC/Trustee reserves the right to change / modify the Load structure of the Scheme prospectively, subject to maximum limits as prescribed under the Regulations",exit_load,


